1100,33:38.4,33:38.4,0,1,100,Wakeup service
1101,33:38.4,33:38.4,0,1,101,Wheelchair access
1102,33:38.4,33:38.4,0,1,102,Whirlpool
1103,33:38.4,33:38.4,0,1,103,Multilingual staff
1104,33:38.4,33:38.4,0,1,104,Wedding services
1105,33:38.4,33:38.4,0,1,105,Banquet facilities
1106,33:38.4,33:38.4,0,1,106,Bell staff/porter
1107,33:38.4,33:38.4,0,1,107,Beauty shop/salon
1108,33:38.4,33:38.4,0,1,108,Complimentary self service laundry
1109,33:38.4,33:38.4,0,1,109,Direct dial telephone
1110,33:38.4,33:38.4,0,1,110,Female traveler room/floor
1111,33:38.4,33:38.4,0,1,111,Pharmacy
1112,33:38.4,33:38.4,0,1,112,Stables
1113,33:38.4,33:38.4,0,1,113,120 AC
1114,33:38.4,33:38.4,0,1,114,120 DC
1115,33:38.4,33:38.4,0,1,115,220 AC
1116,33:38.5,33:38.5,0,1,116,Accessible parking
1117,33:38.5,33:38.5,0,1,117,220 DC
1118,33:38.5,33:38.5,0,1,118,Barbeque grills
1119,33:38.5,33:38.5,0,1,119,Women's clothing
1120,33:38.5,33:38.5,0,1,120,Men's clothing
1121,33:38.5,33:38.5,0,1,121,Children's clothing
1122,33:38.5,33:38.5,0,1,122,Shops and commercial services
1123,33:38.5,33:38.5,0,1,123,Video games
1124,33:38.5,33:38.5,0,1,124,Sports bar open for lunch
1125,33:38.5,33:38.5,0,1,125,Sports bar open for dinner
1126,33:38.5,33:38.5,0,1,126,Room service - full menu
1127,33:38.5,33:38.5,0,1,127,Room service - limited menu
1128,33:38.5,33:38.5,0,1,128,Room service - limited hours
1129,33:38.5,33:38.5,0,1,129,Valet same day dry cleaning
1130,33:38.5,33:38.5,0,1,130,Body scrub
1131,33:38.5,33:38.5,0,1,131,Body wrap
1132,33:38.5,33:38.5,0,1,132,Public area air conditioned
1133,33:38.5,33:38.5,0,1,133,Efolio available to company
1134,33:38.5,33:38.5,0,1,134,Individual Efolio available
1135,33:38.5,33:38.5,0,1,135,Video review billing
1136,33:38.5,33:38.5,0,1,136,Butler service
1137,33:38.5,33:38.5,0,1,137,Complimentary in-room coffee or tea
1138,33:38.5,33:38.5,0,1,138,Complimentary buffet breakfast
1139,33:38.5,33:38.5,0,1,139,Complimentary cocktails
1140,33:38.5,33:38.5,0,1,140,Complimentary coffee in lobby
1141,33:38.5,33:38.5,0,1,141,Complimentary continental breakfast
1142,33:38.5,33:38.5,0,1,142,Complimentary full american breakfast
1143,33:38.5,33:38.5,0,1,143,Dinner delivery service from local restaurant
1144,33:38.5,33:38.5,0,1,144,Complimentary newspaper delivered to room
1145,33:38.5,33:38.5,0,1,145,Complimentary newspaper in lobby
1146,33:38.5,33:38.5,0,1,146,Complimentary shoeshine
1147,33:38.5,33:38.5,0,1,147,Evening reception
1148,33:38.5,33:38.5,0,1,148,Front desk
1149,33:38.5,33:38.5,0,1,149,Grocery shopping service available
1150,33:38.5,33:38.5,0,1,150,Halal food available
1151,33:38.5,33:38.5,0,1,151,Kosher food available
1152,33:38.5,33:38.5,0,1,152,Limousine service
1153,33:38.5,33:38.5,0,1,153,Managers reception
1154,33:38.5,33:38.5,0,1,154,Medical Facilities Service
1155,33:38.5,33:38.5,0,1,155,Telephone jack adaptor available
1156,33:38.5,33:38.5,0,1,156,All-inclusive meal plan
1157,33:38.5,33:38.5,0,1,157,Buffet breakfast
1158,33:38.5,33:38.5,0,1,158,Communal bar area
1159,33:38.5,33:38.5,0,1,159,Continental breakfast
1160,33:38.5,33:38.5,0,1,160,Full meal plan
1161,33:38.5,33:38.5,0,1,161,Full american breakfast
1162,33:38.5,33:38.5,0,1,162,Meal plan available
1163,33:38.5,33:38.5,0,1,163,Modified american meal plan
1164,33:38.5,33:38.5,0,1,164,Food and beverage outlets
1165,33:38.5,33:38.5,0,1,165,Lounges/bars
1166,33:38.5,33:38.5,0,1,166,Barber shop
1167,33:38.5,33:38.5,0,1,167,Video checkout
1168,33:38.5,33:38.5,0,1,168,Onsite laundry
1169,33:38.5,33:38.5,0,1,169,24-hour food & beverage kiosk
1170,33:38.5,33:38.5,0,1,170,Concierge lounge
1171,33:38.5,33:38.5,0,1,171,Parking fee managed by hotel
1172,33:38.5,33:38.5,0,1,172,Transportation
1173,33:38.5,33:38.5,0,1,173,Breakfast served in restaurant
1174,33:38.5,33:38.5,0,1,174,Lunch served in restaurant
1175,33:38.6,33:38.6,0,1,175,Dinner served in restaurant
1176,33:38.6,33:38.6,0,1,176,Full service housekeeping
1177,33:38.6,33:38.6,0,1,177,Limited service housekeeping
1178,33:38.6,33:38.6,0,1,178,High speed internet access for laptop in public areas
1179,33:38.6,33:38.6,0,1,179,Wireless internet connection in public areas
1180,33:38.6,33:38.6,0,1,180,Additional services/amenities/facilities on property
1181,33:38.6,33:38.6,0,1,181,Transportation services - local area
1182,33:38.6,33:38.6,0,1,182,Transportation services - local office
1183,33:38.6,33:38.6,0,1,183,DVD/video rental
1184,33:38.6,33:38.6,0,1,184,Parking lot
1185,33:38.6,33:38.6,0,1,185,Parking deck
1186,33:38.6,33:38.6,0,1,186,Street side parking
1187,33:38.6,33:38.6,0,1,187,Cocktail lounge with entertainment
1188,33:38.6,33:38.6,0,1,188,Cocktail lounge with light fare
1189,33:38.6,33:38.6,0,1,189,Motorcycle parking
1190,33:38.6,33:38.6,0,1,190,Phone services
1191,33:38.6,33:38.6,0,1,191,Ballroom
1192,33:38.6,33:38.6,0,1,192,Bus parking
1193,33:38.6,33:38.6,0,1,193,Children's play area
1194,33:38.6,33:38.6,0,1,194,Children's nursery
1195,33:38.6,33:38.6,0,1,195,Disco
1196,33:38.6,33:38.6,0,1,196,Early check-in
1197,33:38.6,33:38.6,0,1,197,Locker room
1198,33:38.6,33:38.6,0,1,198,Non-smoking rooms (generic)
1199,33:38.6,33:38.6,0,1,199,Train access
1200,33:38.6,33:38.6,0,1,200,Aerobics instruction
1201,33:38.6,33:38.6,0,1,201,Baggage hold
1202,33:38.6,33:38.6,0,1,202,Bicycle rentals
1203,33:38.6,33:38.6,0,1,203,Dietician
1204,33:38.6,33:38.6,0,1,204,Late check-out available
1205,33:38.6,33:38.6,0,1,205,Pet-sitting services
1206,33:38.6,33:38.6,0,1,206,Prayer mats
1207,33:38.6,33:38.6,0,1,207,Sports trainer
1208,33:38.6,33:38.6,0,1,208,Turndown service
1209,33:38.6,33:38.6,0,1,209,DVDs/videos - children
1210,33:38.6,33:38.6,0,1,210,Bank
1211,33:38.6,33:38.6,0,1,211,Lobby coffee service
1212,33:38.6,33:38.6,0,1,212,Banking services
1213,33:38.6,33:38.6,0,1,213,Stairwells
1214,33:38.6,33:38.6,0,1,214,Pet amenities available
1215,33:38.6,33:38.6,0,1,215,Exhibition/convention floor
1216,33:38.6,33:38.6,0,1,216,Long term parking
1217,33:38.6,33:38.6,0,1,217,Children not allowed
1218,33:38.6,33:38.6,0,1,218,Children welcome
1219,33:38.6,33:38.6,0,1,219,Courtesy car
1220,33:38.6,33:38.6,0,1,220,Hotel does not provide pornographic films/TV
1221,33:38.6,33:38.6,0,1,221,Hotspots
1222,33:38.6,33:38.6,0,1,222,Free high speed internet connection
1223,33:38.6,33:38.6,0,1,223,Internet services
1224,33:38.6,33:38.6,0,1,224,Pets allowed
1225,33:38.6,33:38.6,0,1,225,Gourmet highlights
1226,33:38.6,33:38.6,0,1,226,Catering services
1227,33:38.6,33:38.6,0,1,227,Complimentary breakfast
1228,33:38.6,33:38.6,0,1,228,Business center
1229,33:38.6,33:38.6,0,1,229,Business services
1230,33:38.6,33:38.6,0,1,230,Secured parking
1231,33:38.6,33:38.6,0,1,231,Racquetball
1232,33:38.6,33:38.6,0,1,232,Snow sports
1233,33:38.6,33:38.6,0,1,233,Tennis court
1234,33:38.7,33:38.7,0,1,234,Water sports
1235,33:38.7,33:38.7,0,1,235,Child programs
1236,33:38.7,33:38.7,0,1,236,Golf
1237,33:38.7,33:38.7,0,1,237,Horseback riding
1238,33:38.7,33:38.7,0,1,238,Oceanfront
1239,33:38.7,33:38.7,0,1,239,Beachfront
1240,33:38.7,33:38.7,0,1,240,Hair dryer
1241,33:38.7,33:38.7,0,1,241,Ironing board
1242,33:38.7,33:38.7,0,1,242,Heated guest rooms
1243,33:38.7,33:38.7,0,1,243,Toilet
1244,33:38.7,33:38.7,0,1,244,Parlor
1245,33:38.7,33:38.7,0,1,245,Video game player
1246,33:38.7,33:38.7,0,1,246,Thalassotherapy
1247,33:38.7,33:38.7,0,1,247,Private dining for groups
1248,33:38.7,33:38.7,0,1,248,Hearing impaired services
1249,33:38.7,33:38.7,0,1,249,Carryout breakfast
1250,33:38.7,33:38.7,0,1,250,Deluxe continental breakfast
1251,33:38.7,33:38.7,0,1,251,Hot continental breakfast
