2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57401,38:21.4,38:21.4,0,HBSI,55576,AKN,HBSI55576AKN,Presidential Suite King NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57402,38:21.4,38:21.4,0,HBSI,55576,CD2N,HBSI55576CD2N,Fairmont Dbl Dbl NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57403,38:21.4,38:21.4,0,HBSI,55576,CD2NAW,HBSI55576CD2NAW,Fairmont Dbl Dbl NS WC Accessibl
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57404,38:21.4,38:21.4,0,HBSI,55576,CKN,HBSI55576CKN,Fairmont King NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57405,38:21.4,38:21.4,0,HBSI,55576,CKNAW,HBSI55576CKNAW,Fairmont King NS WC Accessible
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57406,38:21.4,38:21.4,0,HBSI,55576,CQN,HBSI55576CQN,Fairmont Queen NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57431,38:21.4,38:21.4,0,HBSI,55576,QQ2N,HBSI55576QQ2N,Fairmont Gold Signature Qn Qn NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57432,38:21.4,38:21.4,0,HBSI,55576,SQN,HBSI55576SQN,Moderate Queen NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57425,38:21.4,38:21.4,0,HBSI,55576,MKNS,HBSI55576MKNS,Signature One Bedroom Suite King
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57426,38:21.4,38:21.4,0,HBSI,55576,OTHER1,HBSI55576OTHER1,Two Bedroom Suite
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57427,38:21.4,38:21.4,0,HBSI,55576,OTHER2,HBSI55576OTHER2,Fairmont Gold Two Bedroom Suite
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57428,38:21.4,38:21.4,0,HBSI,55576,QJKN,HBSI55576QJKN,Fairmont Gold Jr. Suite King NS
2824,18:42.7,42:12.5,1,HBSI,55576,HBSI55576,FairmontCopleyPlaza,Fairmont Copley Plaza,5280,11:50.6,22:12.6,1,HBSI,WJS1,HBSIWJS1,Hotel Rate,,Costco Travel Standalone Rate,0,4,55576,0,1,NULL,NULL,USA,FAIRMONT,FA,0,NULL,57429,38:21.4,38:21.4,0,HBSI,55576,QJKNAR,HBSI55576QJKNAR,Fairmont Gold Jr. Suite King ADA
